,original_title,year_x,composer,time_stamp,type,volume,length,imdb_title_id,title,year_y,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
38,Friday the 13th Part VII: The New Blood,1988,Henry Manfredini,0:15:03,2-Jan,F13,,tt0095179,Venerdì 13: parte VII - Il sangue scorre di nuovo,1988,5/13/88,"Horror, Thriller",88,USA,English,John Carl Buechler,"Daryl Haney, Manuel Fidello",Paramount Pictures,"Jennifer Banko, John Otrin, Susan Blu, Lar Park-Lincoln, Terry Kiser, Kevin Spirtas, Susan Jennifer Sullivan, Heidi Kozak Haddad, Kane Hodder, William Butler, Staci Greason, Larry Cox, Jeff Bennett, Diana Barrows, Elizabeth Kaitan","Years after Tommy Jarvis chained him underwater at Camp Crystal Lake, the dormant Jason Voorhees is accidentally released from his prison by a telekinetic teenager. Now, only she can stop him.",5.3,31461,"$2,800,000 ","$19,170,001 ","$19,170,001 ",13,305,147
37,Friday the 13th: A New Beginning,1985,Henry Manfredini,0:01:59,2,F13,,tt0089173,Venerdì 13: il terrore continua,1985,8/14/86,"Horror, Mystery, Thriller",92,USA,English,Danny Steinmann,"Martin Kitrosser, David Cohen",Georgetown Productions Inc.,"Anthony Barrile, Suzanne Bateman, Dominick Brascia, Todd Bryant, Curtis Conaway, Juliette Cummins, Bob DeSimone, John Robert Dixon, Corey Feldman, Jere Fields, Tiffany Helm, Melanie Kinnaman, Richard Lineback, Carol Locatell, Ric Mancini","Still haunted by his past, Tommy Jarvis - who, as a child, killed Jason Voorhees - wonders if the serial killer is connected to a series of brutal murders occurring in and around the secluded halfway house where he now lives.",4.8,32655,"$2,200,000 ","$21,930,418 ","$21,930,418 ",16,390,152
18,From Beyond the Grave,1974,Douglas Gamley,0:00:38,1,3b,,tt0070078,La bottega che vendeva la morte,1974,6/1/74,"Fantasy, Horror",98,UK,English,Kevin Connor,"Robin Clarke, Raymond Christodoulou",Amicus Productions,"Ian Bannen, Ian Carmichael, Peter Cushing, Diana Dors, Margaret Leighton, Donald Pleasence, Nyree Dawn Porter, David Warner, Ian Ogilvy, Lesley-Anne Down, Jack Watson, Angela Pleasence, Wendy Allnutt, Rosalind Ayres, Tommy Godfrey",An anthology of four short horror stories revolving around a British antique shop and its mysterious owner.,6.7,3845,,,,,58,43
3,Frozen II,2019,Christophe Beck,0:16:40,,"2, 3a",2,tt4520988,Frozen II - Il segreto di Arendelle,2019,11/27/19,"Animation, Adventure, Comedy",103,USA,English,"Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen",Walt Disney Animation Studios,"Kristen Bell, Idina Menzel, Josh Gad, Jonathan Groff, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds, Alan Tudyk, Hadley Gannaway, Mattea Conforti","Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.",6.9,122760,"$150,000,000 ","$477,373,578 ","$1,450,026,933 ",64,1302,275
39,Garden of Evil,1954,Bernard Herrmann,0:28:00,1,6,,tt0047013,Il prigioniero della miniera,1954,12/3/54,"Action, Adventure, Drama",100,USA,"English, Spanish",Henry Hathaway,"Frank Fenton, Fred Freiberger",Twentieth Century Fox,"Gary Cooper, Susan Hayward, Richard Widmark, Hugh Marlowe, Cameron Mitchell, Rita Moreno, Víctor Manuel Mendoza",A trio of American adventurers marooned in rural Mexico are recruited by a beautiful woman to rescue her husband trapped in a cave in Apache territory.,6.7,2980,"$2,070,000 ",,,,65,26
100,Gladiator,2000,Hans Zimmer,2:29:00,1,5,,tt0172495,Il gladiatore,2000,5/19/00,"Action, Adventure, Drama",155,"USA, UK, Malta, Morocco",English,Ridley Scott,"David Franzoni, David Franzoni",DreamWorks,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,8.5,1308193,"$103,000,000 ","$187,705,427 ","$465,361,176 ",67,2653,213
33,Gremlins 2: The New Batch,1990,Jerry Goldsmith,1:34:48,,2,1,tt0099700,Gremlins 2 - La nuova stirpe,1990,7/13/90,"Comedy, Fantasy, Horror",106,USA,English,"Joe Dante, Chuck Jones","Chris Columbus, Charles S. Haas",Warner Bros.,"Zach Galligan, Phoebe Cates, John Glover, Robert Prosky, Robert Picardo, Christopher Lee, Haviland Morris, Dick Miller, Jackie Joseph, Gedde Watanabe, Keye Luke, Kathleen Freeman, Don Stanton, Dan Stanton, Shawn Nelson","The Gremlins are back, and this time, they've taken control of a New York City media mogul's high-tech skyscraper.",6.4,90688,"$50,000,000 ","$41,482,207 ","$41,482,207 ",,181,112
17,Groundhog Day,1993,George Fenton,,,2,2b,tt0107048,Ricomincio da capo,1993,4/8/93,"Comedy, Fantasy, Romance",101,USA,"English, French, Italian",Harold Ramis,"Danny Rubin, Harold Ramis",Columbia Pictures,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell",A weatherman finds himself inexplicably living the same day over and over again.,8,569359,"$14,600,000 ","$70,906,973 ","$70,906,973 ",72,778,129
90,Harry Potter and the Chamber of Secrets,2002,John Williams,1:49:15,3,1,:32,tt0295297,Harry Potter e la camera dei segreti,2002,12/6/02,"Adventure, Family, Fantasy",161,"UK, USA, Germany",English,Chris Columbus,"J.K. Rowling, Steve Kloves",Warner Bros.,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths, Fiona Shaw, Harry Melling, Toby Jones, Jim Norton, Veronica Clifford, James Phelps, Oliver Phelps, Julie Walters, Bonnie Wright, Mark Williams, Chris Rankin",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,7.4,535906,"$100,000,000 ","$262,450,136 ","$879,569,371 ",63,936,239
10,Harry Potter and the Deathly Hallows: Part 2,2011,Alexandre Desplat,0:55:00,3,5,,tt1201607,Harry Potter e i Doni della Morte - Parte 2,2011,7/13/11,"Adventure, Drama, Fantasy",130,"UK, USA",English,David Yates,"Steve Kloves, J.K. Rowling",Warner Bros.,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe, Rupert Grint, Emma Watson, Evanna Lynch, Domhnall Gleeson, Clémence Poésy, Warwick Davis, John Hurt, Helena Bonham Carter, Graham Duff, Anthony Allgood, Rusty Goffe","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,743339,"$125,000,000 ","$381,409,310 ","$1,342,166,497 ",85,959,486
